,school,sex,age,address,Medu,Mjob,studytime,failures,schoolsup,romantic,goout,score
0,GP,F,18,0.0,4.0,at_home,2.0,0.0,1,0.0,4.0,30.0
1,GP,F,17,0.0,1.0,at_home,2.0,0.0,0,0.0,3.0,30.0
2,GP,F,15,0.0,1.0,at_home,2.0,3.0,1,-1.0,2.0,50.0
3,GP,F,15,0.0,4.0,health,3.0,0.0,0,1.0,2.0,75.0
4,GP,F,16,0.0,3.0,other,2.0,0.0,0,0.0,2.0,50.0
5,GP,M,16,0.0,4.0,services,2.0,0.0,0,0.0,2.0,75.0
6,GP,M,16,-1.0,2.0,other,2.0,0.0,0,0.0,4.0,55.0
7,GP,F,17,0.0,4.0,other,2.0,0.0,1,0.0,4.0,30.0
8,GP,M,15,0.0,3.0,services,2.0,0.0,0,0.0,2.0,95.0
9,GP,M,15,0.0,3.0,other,2.0,0.0,0,0.0,1.0,75.0
10,GP,F,15,0.0,4.0,teacher,2.0,0.0,0,0.0,3.0,45.0
12,GP,M,15,0.0,4.0,health,1.0,0.0,0,0.0,3.0,70.0
13,GP,M,15,0.0,4.0,teacher,2.0,0.0,0,-1.0,3.0,55.0
14,GP,M,15,0.0,2.0,other,3.0,0.0,0,1.0,2.0,80.0
15,GP,F,16,0.0,4.0,health,1.0,0.0,0,0.0,4.0,70.0
16,GP,F,16,0.0,4.0,services,3.0,0.0,0,0.0,3.0,70.0
18,GP,M,17,0.0,3.0,services,1.0,3.0,0,0.0,5.0,25.0
19,GP,M,16,0.0,4.0,health,1.0,0.0,0,0.0,3.0,50.0
20,GP,M,15,0.0,4.0,teacher,2.0,0.0,0,0.0,1.0,75.0
21,GP,M,15,0.0,4.0,health,1.0,-1.0,0,0.0,2.0,75.0
22,GP,M,16,0.0,4.0,teacher,2.0,0.0,0,0.0,1.0,80.0
23,GP,M,16,0.0,2.0,other,2.0,0.0,0,0.0,4.0,60.0
26,GP,M,15,0.0,2.0,other,1.0,0.0,0,-1.0,2.0,55.0
28,GP,M,16,0.0,3.0,services,2.0,0.0,1,0.0,3.0,55.0
29,GP,M,16,0.0,4.0,None,2.0,0.0,0,1.0,5.0,55.0
30,GP,M,15,0.0,4.0,health,2.0,0.0,0,0.0,2.0,60.0
31,GP,M,15,0.0,4.0,services,2.0,0.0,0,0.0,1.0,85.0
32,GP,M,15,1.0,4.0,teacher,2.0,0.0,0,1.0,2.0,80.0
33,GP,M,15,0.0,3.0,other,2.0,0.0,0,0.0,2.0,60.0
34,GP,M,16,0.0,3.0,other,1.0,0.0,0,0.0,3.0,75.0
36,GP,M,15,0.0,4.0,teacher,3.0,0.0,0,0.0,3.0,90.0
37,GP,M,16,1.0,4.0,other,3.0,0.0,0,1.0,3.0,75.0
38,GP,F,15,1.0,3.0,services,3.0,0.0,1,0.0,2.0,55.0
39,GP,F,15,1.0,2.0,at_home,1.0,0.0,1,0.0,1.0,65.0
40,GP,F,16,0.0,2.0,other,2.0,1.0,0,1.0,3.0,55.0
41,GP,M,15,0.0,4.0,teacher,1.0,0.0,0,-1.0,3.0,60.0
42,GP,M,15,0.0,4.0,services,2.0,0.0,0,0.0,3.0,90.0
43,GP,M,15,0.0,2.0,services,1.0,0.0,1,0.0,1.0,55.0
44,GP,F,16,0.0,2.0,other,2.0,1.0,1,0.0,3.0,45.0
45,GP,F,15,0.0,4.0,other,2.0,0.0,1,1.0,2.0,30.0
46,GP,F,16,0.0,3.0,other,2.0,0.0,0,0.0,5.0,55.0
47,GP,M,16,0.0,4.0,health,4.0,0.0,0,0.0,2.0,100.0
48,GP,M,15,0.0,4.0,teacher,2.0,-1.0,0,0.0,3.0,70.0
49,GP,F,15,0.0,4.0,services,2.0,1.0,1,0.0,4.0,35.0
50,GP,F,16,0.0,2.0,services,2.0,0.0,0,0.0,3.0,65.0
51,GP,F,15,0.0,4.0,health,2.0,0.0,0,-1.0,3.0,65.0
52,GP,M,15,-1.0,4.0,health,1.0,1.0,0,0.0,5.0,50.0
53,GP,F,15,0.0,4.0,services,1.0,0.0,1,0.0,4.0,55.0
54,GP,F,15,0.0,3.0,None,1.0,-1.0,0,-1.0,4.0,65.0
55,GP,F,16,0.0,2.0,other,2.0,0.0,0,1.0,4.0,50.0
56,GP,F,15,0.0,4.0,services,2.0,0.0,0,0.0,2.0,75.0
57,GP,M,15,0.0,4.0,teacher,2.0,0.0,0,0.0,2.0,75.0
